epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6438,2.32071,13.8421,2.39031,0.52459,0.436,0.1609,0.04952,1.45389,5.63823,1.52203,0.000368229,0.000368229,0.000368229
2,51.5964,1.87478,7.02349,1.99198,0.60417,0.55039,0.58591,0.25121,1.37233,1.56973,1.44947,0.000737436,0.000737436,0.000737436
3,74.4236,1.85753,4.49181,1.9142,0.53227,0.67989,0.66823,0.27016,1.33824,2.41603,1.34982,0.00110214,0.00110214,0.00110214
4,101.969,1.88039,3.37826,1.92607,0.64857,0.70183,0.744,0.35128,1.22812,1.30491,1.32419,0.0010958,0.0010958,0.0010958
5,127.715,1.77164,2.67755,1.87666,0.63327,0.71323,0.77163,0.35679,1.25464,1.03822,1.30109,0.00108408,0.00108408,0.00108408
6,153.133,1.73302,2.42713,1.89659,0.75575,0.74226,0.77156,0.36269,1.24204,1.05397,1.35049,0.00106914,0.00106914,0.00106914
7,177.404,1.71249,2.33962,1.88813,0.6969,0.73869,0.77701,0.36752,1.2733,1.05293,1.33738,0.00105106,0.00105106,0.00105106
8,200.985,1.72082,2.18748,1.90865,0.72266,0.75543,0.77463,0.35528,1.23734,0.91689,1.30107,0.00102996,0.00102996,0.00102996
9,226.956,1.5898,1.96204,1.74213,0.71984,0.74488,0.79976,0.39859,1.20306,0.97051,1.29596,0.00100597,0.00100597,0.00100597
10,251.148,1.70212,1.85887,1.85475,0.85448,0.81136,0.89011,0.44535,1.19854,0.89984,1.31347,0.000979236,0.000979236,0.000979236
11,275.814,1.62438,1.76213,1.7836,0.81741,0.69752,0.82632,0.38404,1.24511,0.89245,1.29243,0.000949925,0.000949925,0.000949925
12,300.602,1.69974,1.76444,1.80758,0.83206,0.83058,0.88331,0.4341,1.18017,0.82245,1.26799,0.000918216,0.000918216,0.000918216
13,324.129,1.61906,1.78815,1.75946,0.76845,0.8092,0.84833,0.41963,1.21688,0.80517,1.26012,0.000884305,0.000884305,0.000884305
14,348.342,1.52964,1.60461,1.70032,0.86471,0.81678,0.88187,0.44722,1.15902,0.79085,1.22678,0.0008484,0.0008484,0.0008484
15,372.244,1.54782,1.50782,1.71651,0.811,0.8326,0.86074,0.44154,1.16248,0.76447,1.22309,0.000810725,0.000810725,0.000810725
16,396.568,1.59058,1.63872,1.75109,0.87804,0.83054,0.91966,0.48075,1.11682,0.74319,1.22686,0.00077151,0.00077151,0.00077151
